English Word,Collision Count,Candidates (Pipe Separated),Action Needed
power,4,力|权力|力量|威,Check Polysemy
office,4,办公室|办事处|任|署,Check Polysemy
countless,4,千万|无数的|无数|数不清,Check Polysemy
but,4,却|但|但是|可是,Check Polysemy
cause,4,原因|致使|因|事业,Check Polysemy
name,4,名字|名|命名|名称,Check Polysemy
regret,4,后悔|遗憾|抱歉|悔,Check Polysemy
direction,4,向|趋向|方向|道,Check Polysemy
contain,4,含有|容纳|盛|包含,Check Polysemy
we,4,咱|我人|我们|咱们,Check Polysemy
cough,4,咳嗽|嗽|咯|咳,Check Polysemy
goods,4,商品|货物|产品|货,Check Polysemy
earth,4,土|泥土|地|地球,Check Polysemy
bury,4,埋葬|厝|埋|葬,Check Polysemy
city,4,城镇|城市|都市|城,Check Polysemy
head,4,头|头部|首|为首,Check Polysemy
woman,4,妇|妇女|女人|女子,Check Polysemy
alone,4,孤独|独|单独|独自,Check Polysemy
respect,4,尊敬|遵守|尊重|方面,Check Polysemy
unexpectedly,4,居然|竟然|竟|不料,Check Polysemy
year,4,岁|年|载|年头,Check Polysemy
mound,4,岗|土墩|邱|丘,Check Polysemy
river,4,川|江|河|河流,Check Polysemy
peaceful,4,康|宁|和平|平静,Check Polysemy
suddenly,4,忽然|忽|乍|俄,Check Polysemy
suffer,4,惨遭|遭受|遭到|受苦,Check Polysemy
fight,4,战|搏|交战|斗,Check Polysemy
therefore,4,所以|爰|因此|因而,Check Polysemy
skill,4,技巧|艺|技|一手,Check Polysemy
stingy,4,抠|靳|吝啬|小气,Check Polysemy
choose,4,挑|选择|选取|拣,Check Polysemy
catch,4,捕捉|着|迨|捕捞,Check Polysemy
pay,4,支付|付|付出|付款,Check Polysemy
support,4,支持|撑|支撑|持,Check Polysemy
friend,4,朋|友|朋友|友人,Check Polysemy
not,4,未|否|不|没,Check Polysemy
frame,4,格|画面|框|架,Check Polysemy
especially,4,格外|份外|尤其|特别,Check Polysemy
this,4,此|斯|这样|这,Check Polysemy
female,4,母|雌|女|女性,Check Polysemy
hair,4,毛|发|头发|毫,Check Polysemy
wave,4,浪|波|挥手|阵,Check Polysemy
clean,4,清洁|净|洁|干净,Check Polysemy
speech,4,演说|讲|言语|演讲,Check Polysemy
bake,4,烘烤|烙|烘|烤,Check Polysemy
father,4,父|父亲|爸爸|爸,Check Polysemy
special,4,特殊|特定|特|专,Check Polysemy
appear,4,现|露面|显得|见,Check Polysemy
benefit,4,益|利益|好处|效益,Check Polysemy
each other,4,相|相互|彼此|互相,Check Polysemy
know,4,知道|认得|得知|体会,Check Polysemy
member,4,社员|成员|会员|议员,Check Polysemy
call,4,称为|称呼|号召|喊,Check Polysemy
kind,4,类|种类|种|善良,Check Polysemy
prosperous,4,繁荣|昌|亨|旺,Check Polysemy
record,4,纪录|籍|记录|录音,Check Polysemy
slow,4,缓慢|缓|慢|徐,Check Polysemy
abandon,4,背弃|舍|离弃|弃,Check Polysemy
beard,4,胡|胡须|胡子|须,Check Polysemy
industry,4,行业|产业|业界|工业,Check Polysemy
crack,4,裂|隙|裂缝|缝,Check Polysemy
excellent,4,詹|嘉|优|佳,Check Polysemy
body,4,躬|身|体|身体,Check Polysemy
until,4,迄|直到|俟|为止,Check Polysemy
defend,4,防御|保卫|捍卫|辩护,Check Polysemy
remove,4,除|撤|搬|脱掉,Check Polysemy
gather,4,集会|聚|聚集|采,Check Polysemy
shake,4,震|摇|摇动|震撼,Check Polysemy
along,4,顺|缘|沿|一同,Check Polysemy
neck,4,颈|脖|领|脖子,Check Polysemy
eat,4,餐|食|啖|吃,Check Polysemy
black,4,黎|黑|皂|乌,Check Polysemy
thousand,3,一千|千|仟,Check Polysemy
once,3,一旦|曾经|一度,Check Polysemy
same,3,一般|同样|一样,Check Polysemy
under,3,下|之下|在下,Check Polysemy
below,3,下面|在下面|以下,Check Polysemy
maybe,3,不一定|说不定|或,Check Polysemy
difficult,3,不易|难|艰,Check Polysemy
correct,3,不错|然|纠,Check Polysemy
focus,3,专注|焦点|聚焦,Check Polysemy
silk,3,丝|帛|丝绸,Check Polysemy
tight,3,严|紧|瘦,Check Polysemy
solemn,3,严肃|庄严的|穆,Check Polysemy
china,3,中华|中国|华,Check Polysemy
because of,3,为|基于|由于,Check Polysemy
why,3,为何|为什么|为甚么,Check Polysemy
view,3,主张|意见|看法,Check Polysemy
after,3,之后|然后|以后,Check Polysemy
ride,3,乘|骑|乘坐,Check Polysemy
also,3,也|还|亦,Check Polysemy
habit,3,习惯|癖|习,Check Polysemy
country,3,乡|国家|国,Check Polysemy
two,3,二|贰|双,Check Polysemy
give,3,交给|赏|给以,Check Polysemy
personally,3,亲眼|亲自|亲手,Check Polysemy
they,3,他们|它们|她们,Check Polysemy
substitute,3,代|取代|取而代之,Check Polysemy
value,3,价值|推崇|值,Check Polysemy
company,3,企业|公司|司,Check Polysemy
similar,3,似|肖|类似,Check Polysemy
inexpensive,3,便宜|贱|廉,Check Polysemy
recommend,3,保送|荐|推荐,Check Polysemy
proud,3,傲|骄|骄傲,Check Polysemy
tradition,3,傳統|传统|舞狮,Check Polysemy
advanced,3,先进|高级|进阶,Check Polysemy
light,3,光|轻|亮,Check Polysemy
common,3,共同|共|普通,Check Polysemy
other,3,其他|其它|另,Check Polysemy
actually,3,其实|所|究竟,Check Polysemy
army,3,军队|军|营,Check Polysemy
moreover,3,况且|况|而且,Check Polysemy
cold,3,冷|寒|冷淡,Check Polysemy
minute,3,分|分钟|渺小,Check Polysemy
share,3,分享|股票|股,Check Polysemy
sentence,3,判刑|句|句子,Check Polysemy
eliminate,3,刨|除去|清除,Check Polysemy
exploit,3,利用|开发|剥削,Check Polysemy
everywhere,3,到处|处处|遍,Check Polysemy
razor,3,剃刀|剃须刀片|剃须刀,Check Polysemy
theater,3,剧场|戏院|剧院,Check Polysemy
exhort,3,励|勉|劝,Check Polysemy
medicine,3,医学|药|药品,Check Polysemy
half,3,半|一半|半数,Check Polysemy
doctor,3,博士|医生|医师,Check Polysemy
danger,3,危|危险|险,Check Polysemy
period,3,历时|届|时期,Check Polysemy
reason,3,原因|理|理由,Check Polysemy
friendly,3,友好|友好的|和气,Check Polysemy
bilateral,3,双边|双方|两岸,Check Polysemy
double,3,双重|兼|双倍,Check Polysemy
reaction,3,反动|反应|反映,Check Polysemy
popular,3,受欢迎|流行|热门,Check Polysemy
roar,3,号|咆哮|吼,Check Polysemy
each,3,各|每|各自,Check Polysemy
otherwise,3,否则|要不然|要不,Check Polysemy
throat,3,吭|喉咙|咽,Check Polysemy
hey,3,哎哟|哎|嘿,Check Polysemy
what,3,啥|甚么|什,Check Polysemy
fragrant,3,喷|芳|香,Check Polysemy
grumble,3,噜|叽|诉苦,Check Polysemy
circle,3,圈子|循环|圆,Check Polysemy
above,3,在上面|以上|之上,Check Polysemy
base,3,基|基地|基础,Check Polysemy
hall,3,堂|厅|大厅,Check Polysemy
strong,3,壮|强壮|坚,Check Polysemy
location,3,处|址|场所,Check Polysemy
outside,3,外|外面|之外,Check Polysemy
external,3,外界|外来|以外,Check Polysemy
authority,3,大家|权|柄,Check Polysemy
extensive,3,大规模|博|广泛,Check Polysemy
strange,3,奇怪|陌生|诡异,Check Polysemy
appoint,3,委任|聘任|指定,Check Polysemy
jealous,3,嫉妒|忌|妒,Check Polysemy
school,3,宗|学校|校,Check Polysemy
scene,3,实况|现场|情景,Check Polysemy
night,3,宵|夜|夜晚,Check Polysemy
capacity,3,容量|度|量,Check Polysemy
direct,3,导演|主持|直接,Check Polysemy
almost,3,将近|几乎|几,Check Polysemy
peak,3,尖峰|山峰|峰,Check Polysemy
flavor,3,尝|口味|味道,Check Polysemy
reside,3,居住|寓|居,Check Polysemy
subordinate,3,属下|下属|附属,Check Polysemy
bank,3,岸|畔|银行,Check Polysemy
adore,3,崇拜|爱慕|喜爱,Check Polysemy
cancer,3,巨蟹座|癌症|癌,Check Polysemy
teacher,3,师|教师|老师,Check Polysemy
emperor,3,帝|皇|皇帝,Check Polysemy
width,3,幅|幅度|宽度,Check Polysemy
flat,3,平坦|平|扁,Check Polysemy
young,3,年轻|幼|幼稚,Check Polysemy
huge,3,庞大|巨|庞,Check Polysemy
court,3,庭|法庭|法院,Check Polysemy
extend,3,延长|扩展|申,Check Polysemy
lift,3,开放|举重|掀,Check Polysemy
bend,3,弯|弯曲|拗,Check Polysemy
strength,3,强|劲|实力,Check Polysemy
form,3,形|养成|程式,Check Polysemy
often,3,往往|时时|时常,Check Polysemy
very,3,得很|很|甚,Check Polysemy
fast,3,快速|快|速,Check Polysemy
completely,3,总体|十足|全然,Check Polysemy
president,3,总统|校长|院长,Check Polysemy
hang,3,悬|吊|挂,Check Polysemy
mournful,3,悲切|悲恸|萧,Check Polysemy
situation,3,情况|情形|局势,Check Polysemy
pleased,3,愉|悦|陶,Check Polysemy
idea,3,意思|想法|意,Check Polysemy
foolish,3,愚蠢|傻|呆,Check Polysemy
indignant,3,愤|气愤|怒,Check Polysemy
generous,3,慷慨|厚|慨,Check Polysemy
apply,3,报名|搽|申请,Check Polysemy
expand,3,拓|膨胀|拓展,Check Polysemy
hire,3,招收|雇|雇用,Check Polysemy
hinder,3,拦|挡|妨碍,Check Polysemy
save,3,拯救|保存|省得,Check Polysemy
injure,3,损|伤|伤害,Check Polysemy
raise,3,提高|异|筹措,Check Polysemy
hold,3,握住|持有|秉,Check Polysemy
scatter,3,撒|挥|披,Check Polysemy
sow,3,播种机|播种|播,Check Polysemy
branch,3,支|树枝|枝,Check Polysemy
new,3,新任|新|新兴,Check Polysemy
dictionary,3,新华字典|词典|辞典,Check Polysemy
no,3,无|毋|不然,Check Polysemy
day,3,日子|日|天,Check Polysemy
japanese,3,日文|日语|日本,Check Polysemy
dawn,3,旭|晓|旦,Check Polysemy
high,3,昂|高|崇,Check Polysemy
yesterday,3,昨日|昨天|昨,Check Polysemy
warm,3,暖|温|温暖,Check Polysemy
fury,3,暴怒|狂怒|愤怒,Check Polysemy
more,3,更加|更多|更,Check Polysemy
clothes,3,服|衣|衣服,Check Polysemy
towards,3,朝|朝向|奔,Check Polysemy
machine,3,机|机械|机器,Check Polysemy
rotten,3,朽|烂|腐朽,Check Polysemy
material,3,材料|料|材,Check Polysemy
cup,3,杯|杯子|盅,Check Polysemy
really,3,果然|果真|的确,Check Polysemy
sign,3,标记|标志|志,Check Polysemy
mark,3,标记|符|记,Check Polysemy
manner,3,样子|态度|样,Check Polysemy
stick,3,棍|棒子|棍子,Check Polysemy
smart,3,棒|俊|俏,Check Polysemy
besides,3,此外|除了|再说,Check Polysemy
current,3,水流|当前|现时,Check Polysemy
law,3,法律|律|法,Check Polysemy
foreign,3,洋|外国|番,Check Polysemy
grand,3,浩|豪|隆,Check Polysemy
seal,3,海豹|记号|印证,Check Polysemy
weak,3,淡|衰|弱,Check Polysemy
deep,3,深|覃|潭,Check Polysemy
thorough,3,深入|透|彻底,Check Polysemy
sell,3,游说|卖|销售,Check Polysemy
dust,3,灰尘|尘|粉,Check Polysemy
disaster,3,灾难|祸|灾,Check Polysemy
flame,3,炎|焰|炽,Check Polysemy
order,3,点餐|秩序|令,Check Polysemy
familiar,3,熟|昵|熟悉的,Check Polysemy
swallow,3,燕子|吞咽|燕,Check Polysemy
thing,3,物|东西|事物,Check Polysemy
involve,3,牵涉|涉及|涉,Check Polysemy
property,3,特性|财产|资产,Check Polysemy
accusation,3,状|指控|罪名,Check Polysemy
fierce,3,猛烈|凶猛|凶,Check Polysemy
lead,3,率领|领导|主角,Check Polysemy
field,3,田地|野|田,Check Polysemy
leave,3,留|别|离开,Check Polysemy
exhausted,3,疲惫|尽|穷,Check Polysemy
disease,3,病症|症|疾病,Check Polysemy
scale,3,登|规模|秤,Check Polysemy
absolutely,3,百分之百|万万|断,Check Polysemy
royal,3,皇家的|皇室|皇家卫队,Check Polysemy
big,3,盘|大|伟,Check Polysemy
blind,3,盲|盲人|瞎,Check Polysemy
real,3,真正|真|实,Check Polysemy
eye,3,眼睛|目|眼,Check Polysemy
society,3,社|社会|都会,Check Polysemy
secret,3,秘|密|隐,Check Polysemy
air,3,空|气|空气,Check Polysemy
narrow,3,窄|狭|局,Check Polysemy
end,3,端|终|末,Check Polysemy
build,3,筑|建造|搭,Check Polysemy
simple,3,简单|简|单纯,Check Polysemy
chest,3,箱子|膛|胸,Check Polysemy
type,3,类型|式|打字,Check Polysemy
sticky,3,粘性|粘|黏,Check Polysemy
energy,3,精|能量|能源,Check Polysemy
level,3,级|水平|水准,Check Polysemy
button,3,纽|钮|扣,Check Polysemy
coil,3,线圈|卷|缠,Check Polysemy
finally,3,终于|总算|到底,Check Polysemy
lack,3,缺|缺少|短,Check Polysemy
beautiful,3,美丽|丽|美,Check Polysemy
ashamed,3,羞愧|愧|怍,Check Polysemy
wing,3,翅膀|翅|翼,Check Polysemy
person,3,者|人士|员,Check Polysemy
fat,3,肥|脂|胖,Check Polysemy
swollen,3,肿胀|胀|肿,Check Polysemy
foot,3,脚|呎|足,Check Polysemy
since,3,自从|既然|以来,Check Polysemy
english,3,英|英文|英国,Check Polysemy
handsome,3,英俊|秀|帅,Check Polysemy
mean,3,薄|刻薄|凶,Check Polysemy
melt,3,融化|溶化|融,Check Polysemy
surface,3,表|标|表面,Check Polysemy
expression,3,表现|神色|表情,Check Polysemy
show,3,表露|展示|放映,Check Polysemy
seek,3,觅|谋|追求,Check Polysemy
feel,3,觉|感受|感觉到,Check Polysemy
example,3,训|例|鉴,Check Polysemy
certificate,3,证|毕业证书|证书,Check Polysemy
complain,3,诉|埋怨|抱怨,Check Polysemy
talk,3,谈话|言|说话,Check Polysemy
purchase,3,购买|采购|买进,Check Polysemy
approve,3,赞成|赞同|认证,Check Polysemy
trend,3,走向|倾向|趋势,Check Polysemy
lose,3,输|负|丧失,Check Polysemy
border,3,边界|境|际,Check Polysemy
carry,3,运载|提|何,Check Polysemy
here,3,这里|这儿|这边,Check Polysemy
further,3,进一步|愈加|且,Check Polysemy
force,3,迫使|强行|逼迫,Check Polysemy
gradually,3,逐渐|渐渐|日趋,Check Polysemy
way,3,途|途径|方式,Check Polysemy
speed,3,速度|速率|驰,Check Polysemy
avoid,3,避|避免|躲,Check Polysemy
part,3,部分|部份|局部,Check Polysemy
explain,3,释|交代|解释,Check Polysemy
key,3,钥|琴键|键,Check Polysemy
mistake,3,错误|错|误,Check Polysemy
between,3,间|中间|之间,Check Polysemy
hear,3,闻|听取|听见,Check Polysemy
male,3,雄性|男性|男,Check Polysemy
local,3,青团|当地|本地,Check Polysemy
target,3,靶|目标|对象,Check Polysemy
most,3,顶|大半|最,Check Polysemy
receive,3,领取|接待|接获,Check Polysemy
soul,3,魄|灵魂|魂,Check Polysemy
one,2,一|壹,Check Polysemy
altogether,2,一共|总共,Check Polysemy
repeatedly,2,一再|频频,Check Polysemy
piece,2,一块|块,Check Polysemy
together,2,一块儿|一起,Check Polysemy
simultaneously,2,一齐|同时,Check Polysemy
next,2,下一个|其次,Check Polysemy
following,2,下列|随着,Check Polysemy
kneel,2,下跪|跪,Check Polysemy
as,2,不啻|如,Check Polysemy
have to,2,不得不|不能不,Check Polysemy
unknown,2,不得而知|未知,Check Polysemy
impolite,2,不礼貌|不客气,Check Polysemy
carelessly,2,不经意|胡乱,Check Polysemy
bad,2,不良|坏,Check Polysemy
expert,2,专家|内行,Check Polysemy
third,2,丙|第三,Check Polysemy
discard,2,丢弃|抛弃,Check Polysemy
grim,2,严峻|冷酷,Check Polysemy
serious,2,严肃|郑重,Check Polysemy
within,2,中|以内,Check Polysemy
poisoning,2,中毒|毒害,Check Polysemy
red,2,丹|赤,Check Polysemy
master,2,主人|主,Check Polysemy
host,2,主办|主持人,Check Polysemy
zigzag,2,之字形|锯齿形,Check Polysemy
times,2,乘|倍,Check Polysemy
breast,2,乳|奶,Check Polysemy
matter,2,事|物质,Check Polysemy
affair,2,事情|务,Check Polysemy
deficiency,2,亏|阙,Check Polysemy
his,2,亓|其,Check Polysemy
five,2,五|伍,Check Polysemy
asian,2,亚|亚洲,Check Polysemy
mutual,2,交互|互,Check Polysemy
namely,2,亦即|即,Check Polysemy
product,2,产物|乘积,Check Polysemy
enjoy,2,享|享有,Check Polysemy
pavilion,2,亭|凉亭,Check Polysemy
dear,2,亲爱的|亲,Check Polysemy
autograph,2,亲笔签名|签名,Check Polysemy
talent,2,人才|才能,Check Polysemy
barely,2,仅|仅仅,Check Polysemy
today,2,今天|今,Check Polysemy
thus,2,从而|乃,Check Polysemy
duty,2,仔|责,Check Polysemy
nasty,2,令人厌恶的|讨厌的,Check Polysemy
price,2,价|价格,Check Polysemy
copy,2,份|抄袭,Check Polysemy
he,2,伊|他,Check Polysemy
rest,2,休息|其余,Check Polysemy
leisure,2,休闲|闲,Check Polysemy
estimate,2,估|估计,Check Polysemy
comrade,2,伴|同志,Check Polysemy
companion,2,伴侣|侣,Check Polysemy
residence,2,住宅|宅,Check Polysemy
whence,2,何以|何处,Check Polysemy
decide,2,作主|决定,Check Polysemy
works,2,作品|词,Check Polysemy
author,2,作者|作家,Check Polysemy
wear,2,佩|戴,Check Polysemy
messenger,2,使|信使,Check Polysemy
nephew,2,侄|侄子,Check Polysemy
supply,2,供应|补给,Check Polysemy
confess,2,供认|忏悔,Check Polysemy
convenient,2,便利|方便,Check Polysemy
cheap,2,便宜|低廉,Check Polysemy
protect,2,保护|护,Check Polysemy
letter,2,信|字,Check Polysemy
trust,2,信任|信托,Check Polysemy
envelope,2,信封|外壳,Check Polysemy
stoop,2,俯|弯腰,Check Polysemy
tough,2,倔|韧,Check Polysemy
loan,2,借贷|贷款,Check Polysemy
fake,2,假的|假,Check Polysemy
conjecture,2,假设|推测,Check Polysemy
secretly,2,偷偷|暗暗,Check Polysemy
stockpile,2,储存|贮,Check Polysemy
monk,2,僧侣|僧,Check Polysemy
son,2,儿|儿子,Check Polysemy
fill,2,充|填充,Check Polysemy
full,2,充分|盈,Check Polysemy
wholeheartedly,2,全心全意|一心,Check Polysemy
post,2,公告|邮,Check Polysemy
meter,2,公尺|米,Check Polysemy
convention,2,公约|大会,Check Polysemy
orchid,2,兰花|兰,Check Polysemy
concerning,2,关于|有关,Check Polysemy
among,2,其中|当中,Check Polysemy
tool,2,具|工具,Check Polysemy
part-time,2,兼职|兼任,Check Polysemy
content,2,内容|安,Check Polysemy
underwear,2,内衣|衬,Check Polysemy
book,2,册|书,Check Polysemy
furthermore,2,再者|还有,Check Polysemy
military,2,军事|兵,Check Polysemy
agriculture,2,农|农业,Check Polysemy
hat,2,冠|帽,Check Polysemy
winter,2,冬季|冬,Check Polysemy
hail,2,冰雹|招手叫车,Check Polysemy
accurate,2,准确|准,Check Polysemy
soar,2,凌|翱翔,Check Polysemy
assemble,2,凑|聚集,Check Polysemy
ordinary,2,凡|便,Check Polysemy
ferocious,2,凶猛|猛,Check Polysemy
attend,2,出席|赴,Check Polysemy
feasible,2,切实|可行,Check Polysemy
row,2,划船|列,Check Polysemy
standard,2,则|标准,Check Polysemy
creation,2,创作|建立,Check Polysemy
terrible,2,利害|厉害,Check Polysemy
blow,2,刮|飕,Check Polysemy
condition,2,制约|状况,Check Polysemy
chop,2,剁|切,Check Polysemy
shave,2,剃|刮胡子,Check Polysemy
peel,2,剥|剥皮,Check Polysemy
persuade,2,劝说|说,Check Polysemy
merit,2,功|优点,Check Polysemy
plus,2,加|加上,Check Polysemy
add,2,加|添加,Check Polysemy
cannon,2,加农炮|炮,Check Polysemy
participate,2,加盟|参,Check Polysemy
movement,2,动作|运动,Check Polysemy
brave,2,勇|勇敢,Check Polysemy
strangle,2,勒|勒死,Check Polysemy
spoon,2,勺|匙,Check Polysemy
scoop,2,勺子|杓子,Check Polysemy
surround,2,包围|抱,Check Polysemy
pack,2,包装|打包,Check Polysemy
dagger,2,匕首|匕,Check Polysemy
north,2,北|北方,Check Polysemy
bandit,2,匪|寇,Check Polysemy
empty,2,匮|空的,Check Polysemy
ten,2,十|拾,Check Polysemy
cooperate,2,协|合力,Check Polysemy
single,2,单一|只,Check Polysemy
south,2,南|南方,Check Polysemy
museum,2,博物院|博物馆,Check Polysemy
hurried,2,卞|急,Check Polysemy
health,2,卫生|健康,Check Polysemy
history,2,历史|史,Check Polysemy
former,2,原|原先,Check Polysemy
first,2,原始|首先,Check Polysemy
originally,2,原本|起初,Check Polysemy
cook,2,厨子|厨师,Check Polysemy
fork,2,叉子|叉,Check Polysemy
shine,2,发亮|照射,Check Polysemy
excavate,2,发掘|挖掘,Check Polysemy
fever,2,发烧|烧,Check Polysemy
publish,2,发行|刊,Check Polysemy
repeat,2,叠|重复,Check Polysemy
ancient,2,古代|古,Check Polysemy
wacky,2,古怪|古怪的,Check Polysemy
knock,2,叩|敲,Check Polysemy
sting,2,叮|蛰,Check Polysemy
right,2,右边|右,Check Polysemy
sigh,2,叹气|嗟,Check Polysemy
chorus,2,合唱团|合唱,Check Polysemy
afterwards,2,后来|此后,Check Polysemy
toast,2,吐司|敬酒,Check Polysemy
dumb,2,吧|哑,Check Polysemy
ton,2,吨|公吨,Check Polysemy
absorb,2,吸收|摄取,Check Polysemy
warn,2,告诫|井,Check Polysemy
vomit,2,呕吐|吐,Check Polysemy
choke,2,呛|窒息,Check Polysemy
moan,2,呻吟|吟,Check Polysemy
peace,2,和平|虞,Check Polysemy
harmony,2,和谐|和声,Check Polysemy
conduct,2,品|作战,Check Polysemy
breed,2,品种|繁殖,Check Polysemy
answer,2,响应|答案,Check Polysemy
philosophy,2,哲|哲学,Check Polysemy
hum,2,哼|哼唱,Check Polysemy
consult,2,商量|请教,Check Polysemy
sip,2,啜饮|啐,Check Polysemy
gasp,2,喘息|喘气,Check Polysemy
ah,2,嗄|啊,Check Polysemy
crunch,2,嘎吱|松脆,Check Polysemy
mouth,2,嘴|口,Check Polysemy
lip,2,嘴唇|唇,Check Polysemy
organ,2,器官|机关,Check Polysemy
islam,2,回|伊斯兰教,Check Polysemy
response,2,回应|应对,Check Polysemy
recall,2,回想|回忆,Check Polysemy
team,2,团队|班,Check Polysemy
drowsy,2,困倦|困倦的,Check Polysemy
confused,2,困惑|混,Check Polysemy
solid,2,固体|确,Check Polysemy
national,2,国民|国立,Check Polysemy
place,2,地点|场,Check Polysemy
geography,2,地理|地理学,Check Polysemy
floor,2,地面|楼,Check Polysemy
space,2,场地|空间,Check Polysemy
tomb,2,坟墓|墓,Check Polysemy
slope,2,坡|斜坡,Check Polysemy
rubbish,2,垃圾|废物,Check Polysemy
model,2,型|模型,Check Polysemy
dirt,2,垢|污,Check Polysemy
culture,2,培养|文化,Check Polysemy
grow,2,增长|生长,Check Polysemy
wall,2,壁|墙,Check Polysemy
magnificent,2,壮丽|壮丽的,Check Polysemy
shell,2,壳|贝,Check Polysemy
pot,2,壶|锅,Check Polysemy
be,2,处于|系,Check Polysemy
complicated,2,复杂|繁,Check Polysemy
summer,2,夏|夏季,Check Polysemy
eve,2,夏娃|前夕,Check Polysemy
