English,Selected_URI,Selected_Text,Status
branch,http://srs4autism.com/schema/word-zh-树枝,树枝,Pending Apply
brave,http://srs4autism.com/schema/word-zh-勇敢,勇敢,Pending Apply
build,http://srs4autism.com/schema/word-zh-建造,建造,Pending Apply
bullet,http://srs4autism.com/schema/word-zh-子弹,子弹,Pending Apply
bury,http://srs4autism.com/schema/word-zh-埋,埋,Pending Apply
busy,http://srs4autism.com/schema/word-zh-忙,忙,Pending Apply
butt,http://srs4autism.com/schema/word-zh-屁股,屁股,Pending Apply
cage,http://srs4autism.com/schema/word-zh-笼子,笼子,Pending Apply
calculate,http://srs4autism.com/schema/word-zh-计算,计算,Pending Apply
calf,http://srs4autism.com/schema/word-zh-小牛,小牛,Pending Apply
cannon,http://srs4autism.com/schema/word-zh-炮,炮,Pending Apply
category,http://srs4autism.com/schema/word-zh-类别,类别,Pending Apply
cave,http://srs4autism.com/schema/word-zh-洞穴,洞穴,Pending Apply
certificate,http://srs4autism.com/schema/word-zh-证书,证书,Pending Apply
chain,http://srs4autism.com/schema/word-zh-链条,链条,Pending Apply
change,http://srs4autism.com/schema/word-zh-变化,变化,Pending Apply
cheap,http://srs4autism.com/schema/word-zh-便宜,便宜,Pending Apply
chess,http://srs4autism.com/schema/word-zh-象棋,象棋,Pending Apply
chest,http://srs4autism.com/schema/word-zh-箱子,箱子,Pending Apply
chill,http://srs4autism.com/schema/word-zh-寒冷,寒冷,Pending Apply
china,http://srs4autism.com/schema/word-zh-中国,中国,Pending Apply
choose,http://srs4autism.com/schema/word-zh-选择,选择,Pending Apply
chop,http://srs4autism.com/schema/word-zh-切,切,Pending Apply
chorus,http://srs4autism.com/schema/word-zh-合唱团,合唱团,Pending Apply
cliff,http://srs4autism.com/schema/word-zh-悬崖,悬崖,Pending Apply
clear,http://srs4autism.com/schema/word-zh-清晰,清晰,Pending Apply
clip,http://srs4autism.com/schema/word-zh-回形针,回形针,Pending Apply
clothes,http://srs4autism.com/schema/word-zh-衣服,衣服,Pending Apply
coil,http://srs4autism.com/schema/word-zh-线圈,线圈,Pending Apply
collapse,http://srs4autism.com/schema/word-zh-倒塌,倒塌,Pending Apply
collect,http://srs4autism.com/schema/word-zh-捡,捡,Pending Apply
comma,http://srs4autism.com/schema/word-zh-逗号,逗号,Pending Apply
communicate,http://srs4autism.com/schema/word-zh-沟通,沟通,Pending Apply
competition,http://srs4autism.com/schema/word-zh-竞争,竞争,Pending Apply
complete,http://srs4autism.com/schema/word-zh-完成,完成,Pending Apply
confess,http://srs4autism.com/schema/word-zh-忏悔,忏悔,Pending Apply
confused,http://srs4autism.com/schema/word-zh-困惑,困惑,Pending Apply
contain,http://srs4autism.com/schema/word-zh-容纳,容纳,Pending Apply
continent,http://srs4autism.com/schema/word-zh-大陆,大陆,Pending Apply
continue,http://srs4autism.com/schema/word-zh-继续,继续,Pending Apply
copy,http://srs4autism.com/schema/word-zh-抄袭,抄袭,Pending Apply
core,http://srs4autism.com/schema/word-zh-果核,果核,Pending Apply
cough,http://srs4autism.com/schema/word-zh-咳嗽,咳嗽,Pending Apply
countless,http://srs4autism.com/schema/word-zh-无数的,无数的,Pending Apply
couple,http://srs4autism.com/schema/word-zh-情侣,情侣,Pending Apply
courage,http://srs4autism.com/schema/word-zh-勇气,勇气,Pending Apply
court,http://srs4autism.com/schema/word-zh-法庭,法庭,Pending Apply
crack,http://srs4autism.com/schema/word-zh-裂缝,裂缝,Pending Apply
crew,http://srs4autism.com/schema/word-zh-船员,船员,Pending Apply
crime,http://srs4autism.com/schema/word-zh-犯罪,犯罪,Pending Apply
crowded,http://srs4autism.com/schema/word-zh-拥挤,拥挤,Pending Apply
crunch,http://srs4autism.com/schema/word-zh-松脆,松脆,Pending Apply
crystal,http://srs4autism.com/schema/word-zh-水晶,水晶,Pending Apply
cure,http://srs4autism.com/schema/word-zh-治疗,治疗,Pending Apply
current,http://srs4autism.com/schema/word-zh-水流,水流,Pending Apply
customer,http://srs4autism.com/schema/word-zh-顾客,顾客,Pending Apply
dagger,http://srs4autism.com/schema/word-zh-匕首,匕首,Pending Apply
dangerous,http://srs4autism.com/schema/word-zh-危险,危险,Pending Apply
decay,http://srs4autism.com/schema/word-zh-腐烂,腐烂,Pending Apply
destination,http://srs4autism.com/schema/word-zh-目的地,目的地,Pending Apply
dictionary,http://srs4autism.com/schema/word-zh-新华字典,新华字典,Pending Apply
difference,http://srs4autism.com/schema/word-zh-差,差,Pending Apply
difficult,http://srs4autism.com/schema/word-zh-难,难,Pending Apply
direction,http://srs4autism.com/schema/word-zh-方向,方向,Pending Apply
disaster,http://srs4autism.com/schema/word-zh-灾难,灾难,Pending Apply
disease,http://srs4autism.com/schema/word-zh-疾病,疾病,Pending Apply
dish,http://srs4autism.com/schema/word-zh-菜,菜,Pending Apply
distance,http://srs4autism.com/schema/word-zh-距离,距离,Pending Apply
distant,http://srs4autism.com/schema/word-zh-遥远的,遥远的,Pending Apply
disturb,http://srs4autism.com/schema/word-zh-打扰,打扰,Pending Apply
dodge,http://srs4autism.com/schema/word-zh-闪避,闪避,Pending Apply
double,http://srs4autism.com/schema/word-zh-双倍,双倍,Pending Apply
drag,http://srs4autism.com/schema/word-zh-拖,拖,Pending Apply
drill,http://srs4autism.com/schema/word-zh-电钻,电钻,Pending Apply
drought,http://srs4autism.com/schema/word-zh-干旱,干旱,Pending Apply
drowsy,http://srs4autism.com/schema/word-zh-困倦的,困倦的,Pending Apply
dust,http://srs4autism.com/schema/word-zh-灰尘,灰尘,Pending Apply
early,http://srs4autism.com/schema/word-zh-早,早,Pending Apply
earth,http://srs4autism.com/schema/word-zh-地球,地球,Pending Apply
elbow,http://srs4autism.com/schema/word-zh-肘部,肘部,Pending Apply
elegant,http://srs4autism.com/schema/word-zh-优雅,优雅,Pending Apply
emperor,http://srs4autism.com/schema/word-zh-皇帝,皇帝,Pending Apply
empty,http://srs4autism.com/schema/word-zh-空的,空的,Pending Apply
enemy,http://srs4autism.com/schema/word-zh-敌人,敌人,Pending Apply
envelope,http://srs4autism.com/schema/word-zh-信封,信封,Pending Apply
evil,http://srs4autism.com/schema/word-zh-邪恶,邪恶,Pending Apply
examine,http://srs4autism.com/schema/word-zh-检查,检查,Pending Apply
excavate,http://srs4autism.com/schema/word-zh-挖掘,挖掘,Pending Apply
exhausted,http://srs4autism.com/schema/word-zh-疲惫,疲惫,Pending Apply
exit,http://srs4autism.com/schema/word-zh-出口,出口,Pending Apply
expand,http://srs4autism.com/schema/word-zh-膨胀,膨胀,Pending Apply
expect,http://srs4autism.com/schema/word-zh-期待,期待,Pending Apply
ditch,http://srs4autism.com/schema/word-zh-沟,沟,Pending Apply
dew,http://srs4autism.com/schema/word-zh-露珠,露珠,Pending Apply
defend,http://srs4autism.com/schema/word-zh-防御,防御,Pending Apply
expensive,http://srs4autism.com/schema/word-zh-昂贵,昂贵,Pending Apply
experiment,http://srs4autism.com/schema/word-zh-实验,实验,Pending Apply
expert,http://srs4autism.com/schema/word-zh-专家,专家,Pending Apply
explain,http://srs4autism.com/schema/word-zh-解释,解释,Pending Apply
explosion,http://srs4autism.com/schema/word-zh-爆炸,爆炸,Pending Apply
expression,http://srs4autism.com/schema/word-zh-表情,表情,Pending Apply
eyebrow,http://srs4autism.com/schema/word-zh-眉毛,眉毛,Pending Apply
fail,http://srs4autism.com/schema/word-zh-失败,失败,Pending Apply
fake,http://srs4autism.com/schema/word-zh-假的,假的,Pending Apply
familiar,http://srs4autism.com/schema/word-zh-熟悉的,熟悉的,Pending Apply
father,http://srs4autism.com/schema/word-zh-父亲,父亲,Pending Apply
feast,http://srs4autism.com/schema/word-zh-盛宴,盛宴,Pending Apply
female,http://srs4autism.com/schema/word-zh-母,母,Pending Apply
ferocious,http://srs4autism.com/schema/word-zh-凶猛,凶猛,Pending Apply
fever,http://srs4autism.com/schema/word-zh-发烧,发烧,Pending Apply
field,http://srs4autism.com/schema/word-zh-田地,田地,Pending Apply
fierce,http://srs4autism.com/schema/word-zh-凶猛,凶猛,Pending Apply
file,http://srs4autism.com/schema/word-zh-文件夾,文件夾,Pending Apply
fill,http://srs4autism.com/schema/word-zh-充,充,Pending Apply
fine,http://srs4autism.com/schema/word-zh-罚款,罚款,Pending Apply
fist,http://srs4autism.com/schema/word-zh-拳头,拳头,Pending Apply
flat,http://srs4autism.com/schema/word-zh-平坦,平坦,Pending Apply
flea,http://srs4autism.com/schema/word-zh-跳蚤,跳蚤,Pending Apply
flavor,http://srs4autism.com/schema/word-zh-口味,口味,Pending Apply
fling,http://srs4autism.com/schema/word-zh-投掷,投掷,Pending Apply
flood,http://srs4autism.com/schema/word-zh-洪水,洪水,Pending Apply
focus,http://srs4autism.com/schema/word-zh-聚焦,聚焦,Pending Apply
fool,http://srs4autism.com/schema/word-zh-傻瓜,傻瓜,Pending Apply
foolish,http://srs4autism.com/schema/word-zh-愚蠢,愚蠢,Pending Apply
friendly,http://srs4autism.com/schema/word-zh-友好,友好,Pending Apply
from,http://srs4autism.com/schema/word-zh-从,从,Pending Apply
funnel,http://srs4autism.com/schema/word-zh-漏斗,漏斗,Pending Apply
fur,http://srs4autism.com/schema/word-zh-毛皮,毛皮,Pending Apply
fury,http://srs4autism.com/schema/word-zh-暴怒,暴怒,Pending Apply
fussy,http://srs4autism.com/schema/word-zh-挑剔的,挑剔的,Pending Apply
garden,http://srs4autism.com/schema/word-zh-花园,花园,Pending Apply
gasp,http://srs4autism.com/schema/word-zh-喘气,喘气,Pending Apply
gather,http://srs4autism.com/schema/word-zh-聚集,聚集,Pending Apply
generous,http://srs4autism.com/schema/word-zh-慷慨,慷慨,Pending Apply
geography,http://srs4autism.com/schema/word-zh-地理,地理,Pending Apply
glaze,http://srs4autism.com/schema/word-zh-搪瓷杯,搪瓷杯,Pending Apply
gloomy,http://srs4autism.com/schema/word-zh-阴沉,阴沉,Pending Apply
goods,http://srs4autism.com/schema/word-zh-商品,商品,Pending Apply
gorge,http://srs4autism.com/schema/word-zh-峡谷,峡谷,Pending Apply
gown,http://srs4autism.com/schema/word-zh-礼服,礼服,Pending Apply
grandson,http://srs4autism.com/schema/word-zh-孙子,孙子,Pending Apply
grim,http://srs4autism.com/schema/word-zh-冷酷,冷酷,Pending Apply
kind,http://srs4autism.com/schema/word-zh-善良,善良,Pending Apply
kindergarten,http://srs4autism.com/schema/word-zh-幼儿园,幼儿园,Pending Apply
grove,http://srs4autism.com/schema/word-zh-树林,树林,Pending Apply
grow,http://srs4autism.com/schema/word-zh-生长,生长,Pending Apply
hail,http://srs4autism.com/schema/word-zh-招手叫车,招手叫车,Pending Apply
hall,http://srs4autism.com/schema/word-zh-大厅,大厅,Pending Apply
handle,http://srs4autism.com/schema/word-zh-门把手,门把手,Pending Apply
handsome,http://srs4autism.com/schema/word-zh-帅,帅,Pending Apply
hard,http://srs4autism.com/schema/word-zh-困难,困难,Pending Apply
harmony,http://srs4autism.com/schema/word-zh-和谐,和谐,Pending Apply
hate,http://srs4autism.com/schema/word-zh-憎恨,憎恨,Pending Apply
heal,http://srs4autism.com/schema/word-zh-愈合,愈合,Pending Apply
hedge,http://srs4autism.com/schema/word-zh-树篱,树篱,Pending Apply
heel,http://srs4autism.com/schema/word-zh-脚后跟,脚后跟,Pending Apply
height,http://srs4autism.com/schema/word-zh-身高,身高,Pending Apply
hero,http://srs4autism.com/schema/word-zh-英雄,英雄,Pending Apply
highway,http://srs4autism.com/schema/word-zh-高速公路,高速公路,Pending Apply
history,http://srs4autism.com/schema/word-zh-历史,历史,Pending Apply
hold,http://srs4autism.com/schema/word-zh-握住,握住,Pending Apply
host,http://srs4autism.com/schema/word-zh-主持人,主持人,Pending Apply
hum,http://srs4autism.com/schema/word-zh-哼,哼,Pending Apply
humiliating,http://srs4autism.com/schema/word-zh-羞辱,羞辱,Pending Apply
hundred,http://srs4autism.com/schema/word-zh-百,百,Pending Apply
hut,http://srs4autism.com/schema/word-zh-茅草小屋,茅草小屋,Pending Apply
idea,http://srs4autism.com/schema/word-zh-想法,想法,Pending Apply
identical,http://srs4autism.com/schema/word-zh-相同的,相同的,Pending Apply
ignore,http://srs4autism.com/schema/word-zh-忽略,忽略,Pending Apply
imitate,http://srs4autism.com/schema/word-zh-模仿,模仿,Pending Apply
impolite,http://srs4autism.com/schema/word-zh-不礼貌,不礼貌,Pending Apply
incredible,http://srs4autism.com/schema/word-zh-难以置信,难以置信,Pending Apply
insert,http://srs4autism.com/schema/word-zh-插,插,Pending Apply
inside,http://srs4autism.com/schema/word-zh-里面,里面,Pending Apply
island,http://srs4autism.com/schema/word-zh-岛,岛,Pending Apply
jar,http://srs4autism.com/schema/word-zh-罐子,罐子,Pending Apply
jealous,http://srs4autism.com/schema/word-zh-嫉妒,嫉妒,Pending Apply
judge,http://srs4autism.com/schema/word-zh-法官,法官,Pending Apply
key,http://srs4autism.com/schema/word-zh-琴键,琴键,Pending Apply
kidnap,http://srs4autism.com/schema/word-zh-绑架,绑架,Pending Apply
knock,http://srs4autism.com/schema/word-zh-敲,敲,Pending Apply
know,http://srs4autism.com/schema/word-zh-知道,知道,Pending Apply
lane,http://srs4autism.com/schema/word-zh-巷,巷,Pending Apply
language,http://srs4autism.com/schema/word-zh-语言,语言,Pending Apply
large,http://srs4autism.com/schema/word-zh-大,大,Pending Apply
lawn,http://srs4autism.com/schema/word-zh-草坪,草坪,Pending Apply
lazy,http://srs4autism.com/schema/word-zh-懒惰,懒惰,Pending Apply
lead,http://srs4autism.com/schema/word-zh-率领,率领,Pending Apply
learn,http://srs4autism.com/schema/word-zh-学习,学习,Pending Apply
leather,http://srs4autism.com/schema/word-zh-皮革,皮革,Pending Apply
leave,http://srs4autism.com/schema/word-zh-离开,离开,Pending Apply
legend,http://srs4autism.com/schema/word-zh-神话,神话,Pending Apply
length,http://srs4autism.com/schema/word-zh-长度,长度,Pending Apply
lift,http://srs4autism.com/schema/word-zh-举重,举重,Pending Apply
light,http://srs4autism.com/schema/word-zh-光,光,Pending Apply
lip,http://srs4autism.com/schema/word-zh-嘴唇,嘴唇,Pending Apply
loose,http://srs4autism.com/schema/word-zh-松,松,Pending Apply
lose,http://srs4autism.com/schema/word-zh-输,输,Pending Apply
loud,http://srs4autism.com/schema/word-zh-响,响,Pending Apply
loyal,http://srs4autism.com/schema/word-zh-忠诚,忠诚,Pending Apply
machine,http://srs4autism.com/schema/word-zh-机器,机器,Pending Apply
magnificent,http://srs4autism.com/schema/word-zh-壮丽的,壮丽的,Pending Apply
male,http://srs4autism.com/schema/word-zh-雄性,雄性,Pending Apply
mallet,http://srs4autism.com/schema/word-zh-木槌,木槌,Pending Apply
manufacture,http://srs4autism.com/schema/word-zh-制造,制造,Pending Apply
maple,http://srs4autism.com/schema/word-zh-枫叶,枫叶,Pending Apply
march,http://srs4autism.com/schema/word-zh-三月,三月,Pending Apply
massage,http://srs4autism.com/schema/word-zh-按摩,按摩,Pending Apply
match,http://srs4autism.com/schema/word-zh-匹配,匹配,Pending Apply
material,http://srs4autism.com/schema/word-zh-材料,材料,Pending Apply
mean,http://srs4autism.com/schema/word-zh-刻薄,刻薄,Pending Apply
measure,http://srs4autism.com/schema/word-zh-测量,测量,Pending Apply
medicine,http://srs4autism.com/schema/word-zh-药,药,Pending Apply
meet,http://srs4autism.com/schema/word-zh-见面,见面,Pending Apply
melt,http://srs4autism.com/schema/word-zh-融化,融化,Pending Apply
member,http://srs4autism.com/schema/word-zh-成员,成员,Pending Apply
messenger,http://srs4autism.com/schema/word-zh-信使,信使,Pending Apply
metal,http://srs4autism.com/schema/word-zh-金属,金属,Pending Apply
miserable,http://srs4autism.com/schema/word-zh-痛苦,痛苦,Pending Apply
miss,http://srs4autism.com/schema/word-zh-小姐,小姐,Pending Apply
mistake,http://srs4autism.com/schema/word-zh-错误,错误,Pending Apply
mix,http://srs4autism.com/schema/word-zh-混合,混合,Pending Apply
moan,http://srs4autism.com/schema/word-zh-呻吟,呻吟,Pending Apply
model,http://srs4autism.com/schema/word-zh-模型,模型,Pending Apply
mother,http://srs4autism.com/schema/word-zh-母亲,母亲,Pending Apply
monk,http://srs4autism.com/schema/word-zh-僧侣,僧侣,Pending Apply
muscle,http://srs4autism.com/schema/word-zh-肌肉,肌肉,Pending Apply
museum,http://srs4autism.com/schema/word-zh-博物馆,博物馆,Pending Apply
nasty,http://srs4autism.com/schema/word-zh-讨厌的,讨厌的,Pending Apply
nature,http://srs4autism.com/schema/word-zh-自然,自然,Pending Apply
nephew,http://srs4autism.com/schema/word-zh-侄子,侄子,Pending Apply
next,http://srs4autism.com/schema/word-zh-下一个,下一个,Pending Apply
north,http://srs4autism.com/schema/word-zh-北方,北方,Pending Apply
observe,http://srs4autism.com/schema/word-zh-观察,观察,Pending Apply
operation,http://srs4autism.com/schema/word-zh-手术,手术,Pending Apply
opinion,http://srs4autism.com/schema/word-zh-意见,意见,Pending Apply
orchid,http://srs4autism.com/schema/word-zh-兰花,兰花,Pending Apply
order,http://srs4autism.com/schema/word-zh-点餐,点餐,Pending Apply
organ,http://srs4autism.com/schema/word-zh-器官,器官,Pending Apply
outside,http://srs4autism.com/schema/word-zh-外面,外面,Pending Apply
overtake,http://srs4autism.com/schema/word-zh-超车,超车,Pending Apply
pack,http://srs4autism.com/schema/word-zh-打包,打包,Pending Apply
palace,http://srs4autism.com/schema/word-zh-宫殿,宫殿,Pending Apply
palm,http://srs4autism.com/schema/word-zh-手掌,手掌,Pending Apply
paragraph,http://srs4autism.com/schema/word-zh-段落,段落,Pending Apply
paralyzed,http://srs4autism.com/schema/word-zh-瘫痪,瘫痪,Pending Apply
passion,http://srs4autism.com/schema/word-zh-激情,激情,Pending Apply
pastry,http://srs4autism.com/schema/word-zh-点心,点心,Pending Apply
patient,http://srs4autism.com/schema/word-zh-病人,病人,Pending Apply
pattern,http://srs4autism.com/schema/word-zh-图案,图案,Pending Apply
pavilion,http://srs4autism.com/schema/word-zh-凉亭,凉亭,Pending Apply
pay,http://srs4autism.com/schema/word-zh-付款,付款,Pending Apply
peaceful,http://srs4autism.com/schema/word-zh-平静,平静,Pending Apply
peak,http://srs4autism.com/schema/word-zh-山峰,山峰,Pending Apply
peel,http://srs4autism.com/schema/word-zh-剥,剥,Pending Apply
perish,http://srs4autism.com/schema/word-zh-去死,去死,Pending Apply
permanent,http://srs4autism.com/schema/word-zh-永久的,永久的,Pending Apply
pest,http://srs4autism.com/schema/word-zh-害虫,害虫,Pending Apply
pick,http://srs4autism.com/schema/word-zh-采摘,采摘,Pending Apply
pillar,http://srs4autism.com/schema/word-zh-柱子,柱子,Pending Apply
plain,http://srs4autism.com/schema/word-zh-平原,平原,Pending Apply
pluck,http://srs4autism.com/schema/word-zh-采摘,采摘,Pending Apply
plum,http://srs4autism.com/schema/word-zh-李子,李子,Pending Apply
poison,http://srs4autism.com/schema/word-zh-毒药,毒药,Pending Apply
pond,http://srs4autism.com/schema/word-zh-池塘,池塘,Pending Apply
poor,http://srs4autism.com/schema/word-zh-穷人,穷人,Pending Apply
popular,http://srs4autism.com/schema/word-zh-受欢迎,受欢迎,Pending Apply
porcelain,http://srs4autism.com/schema/word-zh-瓷器,瓷器,Pending Apply
porter,http://srs4autism.com/schema/word-zh-搬运工,搬运工,Pending Apply
position,http://srs4autism.com/schema/word-zh-位置,位置,Pending Apply
predict,http://srs4autism.com/schema/word-zh-预测,预测,Pending Apply
price,http://srs4autism.com/schema/word-zh-价格,价格,Pending Apply
product,http://srs4autism.com/schema/word-zh-乘积,乘积,Pending Apply
profession,http://srs4autism.com/schema/word-zh-职业,职业,Pending Apply
proud,http://srs4autism.com/schema/word-zh-骄傲,骄傲,Pending Apply
quest,http://srs4autism.com/schema/word-zh-探险,探险,Pending Apply
protect,http://srs4autism.com/schema/word-zh-保护,保护,Pending Apply
razor,http://srs4autism.com/schema/word-zh-剃须刀片,剃须刀片,Pending Apply
reason,http://srs4autism.com/schema/word-zh-原因,原因,Pending Apply
reassure,http://srs4autism.com/schema/word-zh-安慰,安慰,Pending Apply
recognize,http://srs4autism.com/schema/word-zh-认出,认出,Pending Apply
record,http://srs4autism.com/schema/word-zh-录音,录音,Pending Apply
regret,http://srs4autism.com/schema/word-zh-后悔,后悔,Pending Apply
reject,http://srs4autism.com/schema/word-zh-拒绝,拒绝,Pending Apply
remove,http://srs4autism.com/schema/word-zh-脱掉,脱掉,Pending Apply
repeat,http://srs4autism.com/schema/word-zh-重复,重复,Pending Apply
reply,http://srs4autism.com/schema/word-zh-回答,回答,Pending Apply
request,http://srs4autism.com/schema/word-zh-要求,要求,Pending Apply
resist,http://srs4autism.com/schema/word-zh-抵抗,抵抗,Pending Apply
respect,http://srs4autism.com/schema/word-zh-尊敬,尊敬,Pending Apply
retreat,http://srs4autism.com/schema/word-zh-撤退,撤退,Pending Apply
return,http://srs4autism.com/schema/word-zh-回来,回来,Pending Apply
reverse,http://srs4autism.com/schema/word-zh-倒车,倒车,Pending Apply
ride,http://srs4autism.com/schema/word-zh-骑,骑,Pending Apply
rim,http://srs4autism.com/schema/word-zh-边缘,边缘,Pending Apply
roar,http://srs4autism.com/schema/word-zh-吼,吼,Pending Apply
row,http://srs4autism.com/schema/word-zh-划船,划船,Pending Apply
royal,http://srs4autism.com/schema/word-zh-皇家的,皇家的,Pending Apply
rub,http://srs4autism.com/schema/word-zh-擦,擦,Pending Apply
rubbish,http://srs4autism.com/schema/word-zh-垃圾,垃圾,Pending Apply
rumble,http://srs4autism.com/schema/word-zh-隆隆声,隆隆声,Pending Apply
safe,http://srs4autism.com/schema/word-zh-安全,安全,Pending Apply
satisfied,http://srs4autism.com/schema/word-zh-满意,满意,Pending Apply
scale,http://srs4autism.com/schema/word-zh-秤,秤,Pending Apply
scar,http://srs4autism.com/schema/word-zh-疤痕,疤痕,Pending Apply
scamper,http://srs4autism.com/schema/word-zh-奔跑,奔跑,Pending Apply
scatter,http://srs4autism.com/schema/word-zh-撒,撒,Pending Apply
scenery,http://srs4autism.com/schema/word-zh-风景,风景,Pending Apply
scold,http://srs4autism.com/schema/word-zh-责骂,责骂,Pending Apply
scoundrel,http://srs4autism.com/schema/word-zh-无赖,无赖,Pending Apply
seal,http://srs4autism.com/schema/word-zh-海豹,海豹,Pending Apply
second,http://srs4autism.com/schema/word-zh-第二,第二,Pending Apply
sell,http://srs4autism.com/schema/word-zh-卖,卖,Pending Apply
select,http://srs4autism.com/schema/word-zh-选择,选择,Pending Apply
sentence,http://srs4autism.com/schema/word-zh-句子,句子,Pending Apply
serious,http://srs4autism.com/schema/word-zh-严肃,严肃,Pending Apply
settle,http://srs4autism.com/schema/word-zh-安顿,安顿,Pending Apply
shame,http://srs4autism.com/schema/word-zh-羞耻,羞耻,Pending Apply
shake,http://srs4autism.com/schema/word-zh-摇,摇,Pending Apply
share,http://srs4autism.com/schema/word-zh-分享,分享,Pending Apply
sharp,http://srs4autism.com/schema/word-zh-锋利,锋利,Pending Apply
solid,http://srs4autism.com/schema/word-zh-固体,固体,Pending Apply
son,http://srs4autism.com/schema/word-zh-儿子,儿子,Pending Apply
song,http://srs4autism.com/schema/word-zh-歌曲,歌曲,Pending Apply
south,http://srs4autism.com/schema/word-zh-南方,南方,Pending Apply
sow,http://srs4autism.com/schema/word-zh-播种,播种,Pending Apply
speaker,http://srs4autism.com/schema/word-zh-扬声器,扬声器,Pending Apply
spear,http://srs4autism.com/schema/word-zh-矛,矛,Pending Apply
speech,http://srs4autism.com/schema/word-zh-演讲,演讲,Pending Apply
spell,http://srs4autism.com/schema/word-zh-拼写,拼写,Pending Apply
spill,http://srs4autism.com/schema/word-zh-洒,洒,Pending Apply
sticky,http://srs4autism.com/schema/word-zh-粘,粘,Pending Apply
sting,http://srs4autism.com/schema/word-zh-蛰,蛰,Pending Apply
stingy,http://srs4autism.com/schema/word-zh-小气,小气,Pending Apply
stool,http://srs4autism.com/schema/word-zh-凳子,凳子,Pending Apply
stoop,http://srs4autism.com/schema/word-zh-弯腰,弯腰,Pending Apply
storm,http://srs4autism.com/schema/word-zh-暴风雨,暴风雨,Pending Apply
strangle,http://srs4autism.com/schema/word-zh-勒,勒,Pending Apply
street,http://srs4autism.com/schema/word-zh-街道,街道,Pending Apply
string,http://srs4autism.com/schema/word-zh-弦,弦,Pending Apply
strong,http://srs4autism.com/schema/word-zh-强壮,强壮,Pending Apply
